"state","year","avg_days_to_contain"
OK,2015,0.577893820713664
OR,1992,0.39046653144016225
OR,1993,0.32483731019522777
OR,1994,0.7422888440472759
OR,1995,0.47249334516415264
OR,1996,1.0188613342647572
OR,1997,0.3907346747777258
OR,1998,0.5492793143747565
OR,1999,0.43807890222984563
OR,2000,0.5845835488877392
OR,2001,0.9772727272727273
OR,2002,2.394622093023256
OR,2003,0.7180076628352491
OR,2004,0.6610693769332744
OR,2005,0.8628013777267508
OR,2006,1.12865681031771
OR,2007,1.519952114924182
OR,2008,1.4195121951219511
OR,2009,1.4172818063395571
OR,2010,1.6949947862356622
OR,2011,2.462009178990311
OR,2012,1.7843731072077529
OR,2013,1.74822695035461
OR,2014,3.9738756613756614
OR,2015,2.0360051435919417
PA,1992,0.0
PA,1993,0.15789473684210525
PA,1994,0.2
PA,1995,0.09090909090909091
PA,1996,0.0
PA,1997,0.0
PA,1998,0.0
PA,1999,0.5517241379310345
PA,2000,1.1538461538461537
PA,2001,0.1935483870967742
PA,2002,0.12359550561797752
PA,2003,0.044226044226044224
PA,2004,0.0
PA,2005,0.1
PA,2006,0.0
PA,2007,0.2777777777777778
PA,2008,0.0
PA,2009,0.4166666666666667
PA,2010,1.0555555555555556
PA,2011,0.11940298507462686
PA,2012,0.027662517289073305
PA,2013,0.07355242566510173
PA,2014,0.05148741418764302
PA,2015,0.03965303593556382
PR,1994,0.5
PR,1997,0.0
PR,2002,3.0
PR,2003,1.3333333333333333
PR,2004,1.0
PR,2005,0.27586206896551724
PR,2006,0.18181818181818182
PR,2007,0.4166666666666667
PR,2008,1.0588235294117647
PR,2009,1.1428571428571428
PR,2011,0.5789473684210527
PR,2012,0.625
PR,2013,3.774193548387097
PR,2014,0.5476190476190477
PR,2015,0.6666666666666666
RI,2008,0.0
RI,2011,0.0
RI,2012,0.0
RI,2013,0.10526315789473684
RI,2014,0.022222222222222223
RI,2015,0.43529411764705883
SC,1992,0.010991129965291169
SC,1993,0.07291666666666667
SC,1994,0.03032329988851728
SC,1995,0.055776892430278883
SC,1996,0.01971894832275612
SC,1997,0.42857142857142855
SC,1998,0.058823529411764705
SC,1999,0.19607843137254902
SC,2000,0.4697508896797153
SC,2001,1.2790697674418605
SC,2002,2.0076923076923077
SC,2003,0.5957446808510638
SC,2004,1.0842105263157895
SC,2005,1.6805555555555556
SC,2006,1.3829787234042554
SC,2007,1.4782608695652173
SC,2008,1.5393258426966292
SC,2009,1.0425531914893618
SC,2010,0.4
SC,2011,0.07559055118110236
SC,2012,0.06808943089430894
SC,2013,0.053604436229205174
SC,2014,0.03116745905969361
SC,2015,0.045878693623639194
SD,1992,0.3110687022900763
SD,1993,0.0380952380952381
SD,1994,0.11042183622828784
SD,1995,0.13964686998394862
SD,1996,0.09560723514211886
SD,1997,0.08623853211009175
SD,1998,0.06645056726094004
SD,1999,0.09557774607703282
SD,2000,0.16260162601626016
SD,2001,0.12917115177610333
SD,2002,0.12170818505338078
SD,2003,0.12790697674418605
SD,2004,0.09982486865148861
SD,2005,0.1255161023947151
SD,2006,0.13366645846346034
SD,2007,0.10714285714285714
SD,2008,0.09530791788856305
SD,2009,0.1227106227106227
SD,2010,0.09025787965616046
SD,2011,0.16522988505747127
SD,2012,0.17761394101876676
SD,2013,0.16393442622950818
SD,2014,0.13529411764705881
SD,2015,0.126953125
TN,1992,0.12962962962962962
TN,1993,0.421875
TN,1994,0.5774647887323944
TN,1995,0.5922330097087378
TN,1996,0.2641509433962264
TN,1997,0.43137254901960786
TN,1998,0.1891891891891892
TN,1999,0.3925925925925926
TN,2000,0.6829268292682927
TN,2001,0.9101123595505618
TN,2002,0.6354166666666666
TN,2003,0.3
TN,2004,0.27941176470588236
TN,2005,0.10810810810810811
TN,2006,0.8636363636363636
TN,2007,0.274822695035461
TN,2008,1.2105263157894737
TN,2009,0.11956521739130435
TN,2010,0.2992545260915868
TN,2011,0.27163667523564694
TN,2012,0.25647451963241436
TN,2013,0.10832025117739404
TN,2014,0.08844621513944223
TN,2015,0.054365733113673806
